id,x,y,r1,r2,theta
../data/images1/0.jpg,869,403,8,12,0.24
../data/images1/1.jpg,869,403,8,12,0.25
../data/images1/2.jpg,869,403,9,12,0.25
../data/images1/3.jpg,869,403,9,12,0.24
../data/images1/4.jpg,869,403,9,12,0.26
../data/images1/5.jpg,869,403,9,11,0.3
../data/images1/6.jpg,869,404,9,11,0.29
../data/images1/7.jpg,870,405,10,11,0.05
../data/images1/8.jpg,870,405,11,10,1.57
../data/images1/9.jpg,870,405,10,11,-0.16
../data/images1/10.jpg,871,406,10,11,2.25
../data/images1/11.jpg,870,406,11,10,0.56
../data/images1/12.jpg,870,406,9,11,1.69
../data/images1/13.jpg,870,407,9,11,1.7
../data/images1/14.jpg,869,407,9,10,1.5
../data/images1/15.jpg,870,408,11,9,0.1
../data/images1/16.jpg,870,409,11,9,0.19
../data/images1/17.jpg,870,410,11,10,0.81
../data/images1/18.jpg,870,411,10,11,-0.71
../data/images1/19.jpg,870,412,10,11,-0.33
../data/images1/20.jpg,869,413,10,11,0.14
../data/images1/21.jpg,870,414,10,11,-0.1
../data/images1/22.jpg,870,416,10,11,-0.31
../data/images1/23.jpg,870,418,10,11,2.08
../data/images1/24.jpg,870,419,11,9,0.26
../data/images1/25.jpg,870,420,9,11,1.73
../data/images1/26.jpg,869,422,9,11,1.63
../data/images1/27.jpg,869,423,9,10,1.58
../data/images1/28.jpg,870,426,9,11,1.8
../data/images1/29.jpg,870,428,10,11,1.98
../data/images1/30.jpg,870,430,12,10,0.81
../data/images1/31.jpg,870,432,11,10,1.1
../data/images1/32.jpg,870,434,10,11,-0.37
../data/images1/33.jpg,869,436,11,10,1.6
../data/images1/34.jpg,869,439,10,11,-0.12
../data/images1/35.jpg,869,441,10,11,2.27
../data/images1/36.jpg,869,444,9,11,1.89
../data/images1/37.jpg,869,446,9,11,1.81
../data/images1/38.jpg,869,449,9,11,1.81
../data/images1/39.jpg,869,452,11,9,0.02
../data/images1/40.jpg,868,455,9,10,1.52
../data/images1/41.jpg,869,458,9,11,1.72
../data/images1/42.jpg,869,462,10,11,2.04
../data/images1/43.jpg,869,464,10,10,2.01
../data/images1/44.jpg,869,468,10,11,-0.52
../data/images1/45.jpg,868,471,10,10,-0.21
../data/images1/46.jpg,868,474,10,11,-0.17
../data/images1/47.jpg,868,478,10,10,1.63
../data/images1/48.jpg,868,482,10,9,0.27
