id,x,y,r1,r2,theta
../../data/extracted_images/h2/000.jpg,869,485,9,12,0.24
../../data/extracted_images/h2/001.jpg,869,486,12,9,1.76
../../data/extracted_images/h2/002.jpg,869,485,12,9,1.81
../../data/extracted_images/h2/003.jpg,869,485,9,12,0.23
../../data/extracted_images/h2/004.jpg,869,486,12,9,1.78
../../data/extracted_images/h2/005.jpg,869,485,12,9,1.8
../../data/extracted_images/h2/006.jpg,869,486,12,9,1.78
../../data/extracted_images/h2/007.jpg,869,486,9,12,0.19
../../data/extracted_images/h2/008.jpg,869,486,12,9,1.77
../../data/extracted_images/h2/009.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/010.jpg,869,486,12,9,1.76
../../data/extracted_images/h2/011.jpg,869,486,9,12,0.18
../../data/extracted_images/h2/012.jpg,869,486,12,9,1.77
../../data/extracted_images/h2/013.jpg,869,486,12,9,1.77
../../data/extracted_images/h2/014.jpg,869,486,9,12,0.19
../../data/extracted_images/h2/015.jpg,869,486,12,9,1.74
../../data/extracted_images/h2/016.jpg,869,486,12,9,1.74
../../data/extracted_images/h2/017.jpg,869,486,12,9,1.74
../../data/extracted_images/h2/018.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/019.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/020.jpg,869,486,9,12,0.18
../../data/extracted_images/h2/021.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/022.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/023.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/024.jpg,869,486,12,9,1.76
../../data/extracted_images/h2/025.jpg,869,486,9,12,0.15
../../data/extracted_images/h2/026.jpg,869,486,9,12,0.14
../../data/extracted_images/h2/027.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/028.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/029.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/030.jpg,869,486,9,12,0.15
../../data/extracted_images/h2/031.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/032.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/033.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/034.jpg,869,486,9,12,0.15
../../data/extracted_images/h2/035.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/036.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/037.jpg,869,486,9,12,0.16
../../data/extracted_images/h2/038.jpg,869,486,9,12,0.18
../../data/extracted_images/h2/039.jpg,869,486,9,12,0.17
../../data/extracted_images/h2/040.jpg,869,486,9,12,0.15
../../data/extracted_images/h2/041.jpg,869,486,12,9,1.71
../../data/extracted_images/h2/042.jpg,869,486,9,12,0.14
../../data/extracted_images/h2/043.jpg,869,486,12,9,1.72
../../data/extracted_images/h2/044.jpg,869,486,9,12,0.14
../../data/extracted_images/h2/045.jpg,869,486,9,12,0.15
../../data/extracted_images/h2/046.jpg,869,486,9,12,0.23
../../data/extracted_images/h2/047.jpg,869,487,9,12,0.22
../../data/extracted_images/h2/048.jpg,869,487,12,9,1.76
../../data/extracted_images/h2/049.jpg,869,487,9,11,0.15
../../data/extracted_images/h2/050.jpg,869,487,11,9,1.78
../../data/extracted_images/h2/051.jpg,869,488,9,11,0.19
../../data/extracted_images/h2/052.jpg,869,488,11,10,1.68
../../data/extracted_images/h2/053.jpg,869,488,11,10,1.55
