ID,Contact_Frame,Leave_Frame,Angle_Thin_Film,Total_Frames,Passthrough,H,Angle_of_Drop_with_Normal,Velocity_at_Contact_Frame,X_Velocity_at_Contact_Frame,Y_Velocity_at_Contact_Frame,Angle_at_Leave_Frame,Velocity_at_Leave_Frame,X_Velocity_at_Leave_Frame,Y_Velocity_at_Leave_Frame,Angle_at_Leave_Frame_C,Velocity_at_Leave_Frame_C,X_Velocity_at_Leave_Frame_C,Y_Velocity_at_Leave_Frame_C,g
 h1,073,085,21.5,219,0,74.0,19.01,3.29,-0.14,3.29,1000,1000,1000,1000,10.81,2.45,2.41,0.46,0.0546
 h1_try,073,085,21.5,219,0,74.0,19.01,3.29,-0.14,3.29,1000,1000,1000,1000,10.81,2.45,2.41,0.46,0.0546
 h2,094,113,27,300,0,85.0,24.61,3.43,-0.14,3.43,-3.18,2.58,2.57,0.14,-4.7,2.21,2.2,-0.18,0.0419
 h3,263,285,27,370,0,86.0,27.0,3.57,0.0,3.57,-0.0,2.14,2.14,0.0,25.88,2.62,2.35,1.14,0.004
 h4,116,136,24.5,282,0,99.0,22.38,3.86,-0.14,3.86,-14.93,2.22,-2.14,-0.57,-38.06,4.71,3.71,-2.9,0.0756
 h5_short,059,077,24.5,180,0,109.0,24.5,4.0,0.0,4.0,-6.71,2.45,2.43,0.29,-37.88,4.84,3.82,-2.97,0.0706
 h6,062,082,24.5,191,0,120.0,22.59,4.29,-0.14,4.29,2.86,2.86,2.86,-0.14,-37.25,5.15,4.1,-3.12,0.0738
 h7_short,059,077,25,180,0,125.0,23.15,4.43,-0.14,4.43,-0.0,2.71,2.71,0.0,-37.03,5.22,4.17,-3.14,0.0708
 h7,059,079,25,273,0,125.0,23.15,4.43,-0.14,4.43,-32.47,1.86,-1.57,-1.0,-36.88,5.29,4.23,-3.17,0.0747
 h8_short,062,081,24.5,180,0,140.0,22.76,4.72,-0.14,4.71,-0.0,2.86,2.86,0.0,-37.09,5.49,4.38,-3.31,0.0715
 h9_short,064,085,24.5,180,0,145.0,22.76,4.72,-0.14,4.71,2.73,3.0,3.0,-0.14,-38.65,5.41,4.22,-3.38,0.0742
 h10_short,067,085,24.5,178,0,166.0,22.86,5.0,-0.14,5.0,-2.73,3.0,3.0,0.14,-37.01,5.64,4.5,-3.39,0.0664
 h11_short,072,092,27.5,166,0,170.0,27.5,5.0,0.0,5.0,-10.3,9.58,9.43,1.71,-43.65,4.57,3.3,-3.15,0.1298
 h12_short,020,042,27.5,100,0,52.0,25.95,5.29,-0.14,5.29,4.24,3.87,3.86,-0.29,-39.78,4.2,3.23,-2.69,0.1519
 h13_short,077,097,27.5,171,0,204.0,24.64,5.72,-0.29,5.71,-2.12,3.86,3.86,0.14,-28.12,6.21,5.47,-2.93,0.0627
 h14_short,076,100,25.5,148,1,213.0,24.1,5.86,-0.14,5.86,2.29,3.57,3.57,-0.14,-0.34,3.64,3.64,-0.02,0.0703
 h15_short,077,100,25.5,142,1,213.0,24.14,6.0,-0.14,6.0,-4.76,3.44,3.43,0.29,16.26,3.9,3.74,1.09,0.0343
 h16_short,078,099,25.5,145,1,232.0,24.14,6.0,-0.14,6.0,-14.04,3.53,3.43,0.86,53.1,4.54,2.73,3.63,-0.1792
 h17_short,080,100,25.5,144,1,240.0,24.17,6.14,-0.14,6.14,-26.57,3.51,3.14,1.57,27.6,3.57,3.17,1.65,0.0251
 h18_short,083,100,29.5,144,1,263.0,28.25,6.57,-0.14,6.57,-14.24,9.87,9.57,2.43,60.73,3.61,1.77,3.15,-0.0574
 h19_short,085,099,29.5,141,1,282.0,28.28,6.72,-0.14,6.71,-59.35,4.48,2.29,3.86,47.02,5.32,3.63,3.89,-0.0165
 h20_short,088,101,29,140,1,299.0,27.88,7.29,-0.14,7.29,-20.85,9.63,9.0,3.43,46.36,5.71,3.94,4.13,-0.0192
 h21_short,092,104,29,143,1,323.0,26.75,7.29,-0.29,7.29,-22.44,7.11,6.57,2.71,55.13,5.2,2.97,4.27,0.041
 h22_short,093,103,29.5,130,1,336.0,29.5,7.14,0.0,7.14,-18.03,6.46,6.14,2.0,-70.09,1.31,-0.45,1.23,0.5534
 h23_short,035,040,18.5,56,1,393.0,17.86,12.86,-0.14,12.86,89.35,12.57,-0.14,12.57,87.46,12.65,0.56,12.63,-0.2953
 h24,026,029,20.5,48,1,492.0,18.45,8.01,-0.29,8.0,88.09,8.58,-0.29,8.57,56.98,13.73,7.48,11.51,-1.3338
 h25_short,021,023,19,40,1,484.0,17.36,10.0,-0.29,10.0,-88.24,9.29,0.29,9.29,89.84,12.14,0.03,12.14,-1.7977
 ref,068,090,24.5,171,0,161.0,22.82,4.86,-0.14,4.86,-26.57,2.87,2.57,1.29,-37.12,5.84,4.66,-3.53,0.0763
