ID,Contact_Frame,Leave_Frame,Angle_Thin_Film,Total_Frames,Passthrough,H,Angle_of_Drop_with_Normal,Velocity_at_Contact_Frame,X_Velocity_at_Contact_Frame,Y_Velocity_at_Contact_Frame,Angle_at_Leave_Frame,Velocity_at_Leave_Frame,X_Velocity_at_Leave_Frame,Y_Velocity_at_Leave_Frame
 h1,073,085,21.5,219,0,79.4,32.48,3.45,0.66,3.38,-7.96,3.52,3.48,0.49
 h1_try,073,085,21.5,219,0,76.4,28.76,3.5,0.41,3.48,-5.22,3.57,3.55,0.32
 h2,094,113,27,300,0,83.1,26.6,3.72,-0.03,3.72,-57.03,2.54,1.38,2.13
 h3,263,285,27,370,1,89.6,27.33,3.95,0.02,3.95,-0.65,2.52,2.52,0.03
 h4,116,136,24.5,282,0,99.5,17.54,3.83,-0.46,3.8,36.41,3.37,2.71,-2.0
 h5_short,059,077,24.5,180,0,110.8,19.67,4.04,-0.34,4.03,31.16,3.89,3.33,-2.01
 h6,062,082,24.5,191,0,122.3,21.48,4.42,-0.23,4.41,30.03,4.31,3.73,-2.15
 h7_short,059,077,25,180,0,131.9,23.17,4.45,-0.14,4.45,28.04,4.62,4.08,-2.17
 h7,059,079,25,273,0,131.9,21.24,4.44,-0.29,4.43,31.27,4.39,3.75,-2.28
 h8_short,062,081,24.5,180,0,140.9,23.42,4.65,-0.09,4.65,27.97,4.97,4.39,-2.33
 h9_short,064,085,24.5,180,0,148.4,20.46,5.11,-0.36,5.1,33.39,4.45,3.72,-2.45
 h10_short,067,085,24.5,178,0,169.5,21.28,5.27,-0.3,5.26,31.71,4.87,4.14,-2.56
 h11_short,072,092,27.5,166,0,174.8,23.52,5.52,-0.38,5.51,24.43,4.4,4.01,-1.82
 h12_short,020,042,27.5,100,0,68.6,26.08,5.57,-0.14,5.57,8.94,5.39,5.33,-0.84
 h13_short,077,097,27.5,171,0,206.3,27.11,5.88,-0.04,5.88,21.17,6.18,5.76,-2.23
 h14_short,076,100,25.5,148,1,219.3,24.89,6.34,-0.07,6.34,-14.37,3.29,3.19,0.82
 h15_short,077,100,25.5,142,1,210.6,24.41,6.49,-0.12,6.49,-21.53,2.99,2.78,1.1
 h16_short,078,099,25.5,145,1,233.9,24.49,6.1,-0.11,6.1,-30.87,3.12,2.68,1.6
 h17_short,080,100,25.5,144,1,248.3,24.51,6.22,-0.11,6.22,-42.7,3.54,2.6,2.4
 h18_short,083,100,29.5,144,1,269.5,27.37,6.66,-0.25,6.65,-54.81,4.69,2.7,3.83
 h19_short,085,099,29.5,141,1,283.3,28.74,6.68,-0.09,6.68,-57.9,5.98,3.18,5.07
 h20_short,088,101,29,140,1,298.2,24.62,6.82,-0.52,6.8,-53.53,6.63,3.94,5.33
 h21_short,092,104,29,143,1,323.4,24.19,7.1,-0.59,7.08,-71.37,5.88,1.88,5.57
 h22_short,093,103,29.5,130,1,340.8,37.2,7.59,1.02,7.52,-75.3,6.28,1.59,6.08
 h23_short,035,040,18.5,56,1,391.8,17.55,12.75,-0.21,12.74,-88.48,12.68,0.34,12.67
 h24,026,029,20.5,48,1,486.4,16.71,7.37,-0.49,7.35,-78.64,10.38,2.04,10.18
 h25_short,021,023,19,40,1,463.7,13.7,3.26,-0.3,3.24,88.8,5.71,-0.12,5.7
 ref,068,107,24.5,171,0,165.9,23.5,5.45,-0.09,5.45,33.18,4.81,4.03,-2.63
