id,x,y,r1,r2,theta
../../data/extracted_images/theta3_bounce/000.jpg,950,555,7,8,89.38141604040842
../../data/extracted_images/theta3_bounce/001.jpg,953,558,6,2,28.64788975654116
../../data/extracted_images/theta3_bounce/002.jpg,,,,,
../../data/extracted_images/theta3_bounce/003.jpg,950,579,3,9,126.05071492878113
../../data/extracted_images/theta3_bounce/004.jpg,951,582,6,9,118.02930579694959
../../data/extracted_images/theta3_bounce/005.jpg,952,588,6,9,120.8940947726037
../../data/extracted_images/theta3_bounce/006.jpg,953,594,9,6,25.210142985756224
../../data/extracted_images/theta3_bounce/007.jpg,954,599,6,9,108.28902327972558
../../data/extracted_images/theta3_bounce/008.jpg,955,604,7,9,83.07888029396936
../../data/extracted_images/theta3_bounce/009.jpg,957,609,8,9,45.26366581533504
../../data/extracted_images/theta3_bounce/010.jpg,960,615,11,9,104.27831871380984
../../data/extracted_images/theta3_bounce/011.jpg,961,618,11,7,111.72677005051052
../../data/extracted_images/theta3_bounce/012.jpg,964,622,11,7,110.58085446024887
../../data/extracted_images/theta3_bounce/013.jpg,966,624,11,7,119.17522138721124
../../data/extracted_images/theta3_bounce/014.jpg,970,627,7,11,30.36676314193363
../../data/extracted_images/theta3_bounce/015.jpg,972,630,7,10,29.79380534680281
../../data/extracted_images/theta3_bounce/016.jpg,975,633,8,9,25.210142985756224
../../data/extracted_images/theta3_bounce/017.jpg,980,637,10,8,50.42028597151245
../../data/extracted_images/theta3_bounce/018.jpg,984,639,8,10,-42.97183463481174
../../data/extracted_images/theta3_bounce/019.jpg,987,638,7,9,89.95437383553926
../../data/extracted_images/theta3_bounce/020.jpg,991,640,8,9,91.1002894258009
../../data/extracted_images/theta3_bounce/021.jpg,996,641,8,9,-12.605071492878112
../../data/extracted_images/theta3_bounce/022.jpg,1001,642,8,10,-11.459155902616464
../../data/extracted_images/theta3_bounce/023.jpg,1006,643,11,8,87.08958485988514
../../data/extracted_images/theta3_bounce/024.jpg,1011,642,10,8,100.26761414789407
../../data/extracted_images/theta3_bounce/025.jpg,1016,641,8,10,14.32394487827058
../../data/extracted_images/theta3_bounce/026.jpg,1022,640,8,9,-5.729577951308232
../../data/extracted_images/theta3_bounce/027.jpg,1028,639,8,9,129.48846169956605
../../data/extracted_images/theta3_bounce/028.jpg,1033,637,6,9,118.6022635920804
../../data/extracted_images/theta3_bounce/029.jpg,1039,637,9,3,30.36676314193363
../../data/extracted_images/theta3_bounce/030.jpg,,,,,
../../data/extracted_images/theta3_bounce/031.jpg,,,,,
../../data/extracted_images/theta3_bounce/032.jpg,1059,623,3,1,17.188733853924695
../../data/extracted_images/theta3_bounce/033.jpg,1066,624,6,5,17.188733853924695
../../data/extracted_images/theta3_bounce/034.jpg,1074,625,7,9,3.437746770784939
../../data/extracted_images/theta3_bounce/035.jpg,1080,623,7,11,20.05352282957881
../../data/extracted_images/theta3_bounce/036.jpg,1087,621,6,12,28.07493196141034
../../data/extracted_images/theta3_bounce/037.jpg,1094,618,12,6,122.61296815799619
../../data/extracted_images/theta3_bounce/038.jpg,1100,617,6,11,35.523383298111035
../../data/extracted_images/theta3_bounce/039.jpg,1108,616,7,11,37.81521447863434
../../data/extracted_images/theta3_bounce/040.jpg,1115,614,8,10,51.56620156177409
../../data/extracted_images/theta3_bounce/041.jpg,1122,613,9,8,-6.302535746439056
../../data/extracted_images/theta3_bounce/042.jpg,1127,611,7,8,124.33184154338863
../../data/extracted_images/theta3_bounce/043.jpg,1132,609,5,7,122.61296815799619
../../data/extracted_images/theta3_bounce/044.jpg,1141,608,9,5,31.512678732195283
../../data/extracted_images/theta3_bounce/045.jpg,1148,608,10,6,36.09634109324187
../../data/extracted_images/theta3_bounce/046.jpg,1156,607,7,10,134.07212406061262
../../data/extracted_images/theta3_bounce/047.jpg,1161,606,7,9,9.740282517223996
../../data/extracted_images/theta3_bounce/048.jpg,1168,605,11,7,118.02930579694959
../../data/extracted_images/theta3_bounce/049.jpg,1174,604,12,6,125.47775713365029
../../data/extracted_images/theta3_bounce/050.jpg,1182,604,12,6,128.91550390443524
../../data/extracted_images/theta3_bounce/051.jpg,1189,603,12,7,132.35325067522018
../../data/extracted_images/theta3_bounce/052.jpg,1196,602,7,11,46.9825392007275
../../data/extracted_images/theta3_bounce/053.jpg,1204,603,9,11,69.90085100596043
../../data/extracted_images/theta3_bounce/054.jpg,1210,602,8,10,105.42423430407148
../../data/extracted_images/theta3_bounce/055.jpg,1216,601,7,9,121.46705256773453
../../data/extracted_images/theta3_bounce/056.jpg,1222,601,6,9,132.92620847035099
../../data/extracted_images/theta3_bounce/057.jpg,1228,600,5,8,-43.54479242994257
../../data/extracted_images/theta3_bounce/058.jpg,1237,602,6,11,-42.97183463481174
../../data/extracted_images/theta3_bounce/059.jpg,1244,602,7,11,-43.54479242994257
../../data/extracted_images/theta3_bounce/060.jpg,1251,602,10,8,56.7228217179515
../../data/extracted_images/theta3_bounce/061.jpg,1256,601,7,10,37.81521447863434
../../data/extracted_images/theta3_bounce/062.jpg,1262,602,6,10,39.5340878640268
../../data/extracted_images/theta3_bounce/063.jpg,1262,604,1,5,24.064227395494573
../../data/extracted_images/theta3_bounce/064.jpg,,,,,
../../data/extracted_images/theta3_bounce/065.jpg,,,,,
